,name,github_id,pypi_id,conda_id,dockerhub_id,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,description,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,projectrank,show,category,projectrank_placing,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,star_count
18,dflow,deepmodeling/dflow,dflow,conda-forge/dflow,dptechnology/dflow,{},,,23,https://pypi.org/project/dflow,,,https://anaconda.org/conda-forge/dflow,,,2026-01-21 07:08:16.591515,,,A Python development framework for concurrent learning applications based on Argo Workflows.,https://hub.docker.com/r/dptechnology/dflow,2026-01-21 07:08:16.591515,22170.0,1,False,others,3.0,-16.0,,,,,
19,dpti,deepmodeling/dpti,dpti,,,{},2.0,2.0,17,https://pypi.org/project/dpti,40.0,40.0,,,,,,,,,,,1,False,others,3.0,,,,,,
20,GPUMD,deepmodeling/GPUMD,,,,{},,,65,,,,,,,,,,,,,,1,False,others,3.0,,,,,,
21,rid-kit,deepmodeling/rid-kit,rid-kit,,,{},2.0,2.0,14,https://pypi.org/project/rid-kit,88.0,88.0,,,,,,,,,,,1,False,others,3.0,,,,,,
22,ADMP,deepmodeling/ADMP,,,,{},,,7,,,,,,,,,,,,,,0,False,others,,,,,,,
23,AI4Science101,deepmodeling/AI4Science101,,,,{},,,5,,,,,,,,,,,,,,0,False,others,,,,,,,
24,AIS-Square,deepmodeling/AIS-Square,,,,{},,,8,,,,,,,,,,,,,,0,False,others,,,,,,,
25,Blog,deepmodeling/blog,,,,{},,,13,,,,,,,,,,,,,,0,False,others,,,,,,,
26,community,deepmodeling/community,,,,{},,,20,,,,,,,,,,,,,,0,False,others,,,,,,,
27,DeepH-pack,deepmodeling/DeepH-pack,,,,{},,,6,,,,,,,,,,,,,,0,False,others,,,,,,,
28,DeePKS-kit,deepmodeling/deepks-kit,,,,{},,,7,,,,,,,,,,,,,,0,False,others,,,,,,,
29,docs,deepmodeling/docs,,,,{},,,8,,,,,,,,,,,,,,0,False,others,,,,,,,
30,LibRI,deepmodeling/LibRI,,,,{},,,3,,,,,,,,,,,,,,0,False,others,,,,,,,
31,tutorials,deepmodeling/tutorials,,,,{},,,12,,,,,,,,,,,,,,0,False,others,,,,,,,
32,tutorials-cn,deepmodeling/tutorials-cn,,,,{},,,4,,,,,,,,,,,,,,0,False,others,,,,,,,
33,Uni-Fold,deepmodeling/Uni-Fold,,,dptechnology/unifold,{},,,3,,,,,,,2024-01-08 06:24:09.367953,,,,https://hub.docker.com/r/dptechnology/unifold,2024-01-08 06:24:09.367953,1632.0,0,False,others,,,,,,,
34,tbplas,deepmodeling/tbplas,,,,{},,,10,,,,,,,,,,,,,,0,False,others,,,,,,,
35,DeePDih,deepmodeling/DeePDih,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
36,dflow-op-cutter,deepmodeling/dflow-op-cutter,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
37,openfinite,deepmodeling/openfinite,,,,{},,,2,,,,,,,,,,,,,,-1,False,others,3.0,,,,,,
